Product/Company,Product/Company URL,Date/Source,Environmental Claims/Allegations,Year,channel,quote,claim_type,sub_category,plaintiff_law_firm,defendant_type,industry_sector,claim_location,certification_misuse,state_law_cited,relief_sought,jurisdiction,current_status,settlement_amount,ruling_date,ruling_pdf_url,ruling_description,case_name,court,docket_number,key_dates,summary,sources,verified_independently,confidence,research_error
Great Value and Sam's Choice seafood,https://truthinadvertising.org/class-action/great-value-and-sams-choice-seafood/,March/class action,Sustainable,2023,packaging,certified sustainable seafood; Sustainably Sourced—100%—Sustainability; sustainably harvested; committed to sourcing sustainable seafood,ingredients sourcing,seafood,"Pearson Warshaw, LLP",corporation,food & beverage,front of pack,Marine Stewardship Council,Illinois Consumer Fraud Act,damages; injunction; restitution; attorney fees,"U.S. District Court, Northern District of Illinois",motion_to_dismiss_denied,,13/05/2024,,"Court granted Defendant's motion to dismiss in part and denied in part. Claims related to products plaintiff did not purchase and request for prospective injunctive relief dismissed for lack of standing. Claims under Illinois Consumer Fraud Act (Count I), other state consumer protection statutes (Count III), and unjust enrichment (Count IV) survive in part. Claim under Uniform Deceptive Trade Practices Act (Count II) dismissed. All dismissals without prejudice.","Sanchez, et al. v. Walmart Inc.",U.S. District Court for the Northern District of Illinois,1:23-cv-01297,"Filed: March 2, 2023; Motion to Dismiss ruling: May 13, 2024; Case terminated: October 16, 2024","This is a class action lawsuit alleging Walmart made false sustainability claims about Great Value and Sam's Choice seafood products. In May 2024, the court partially denied Walmart's motion to dismiss, allowing some claims to proceed while dismissing others for lack of standing. The case was terminated in October 2024.",https://topclassactions.com/lawsuit-settlements/consumer-products/food/bumble-bee-walmart-class-actions-claim-companies-seafood-products-not-sustainable-as-advertised/ | https://www.courtlistener.com/docket/66924718/sanchez-v-walmart-inc/ | https://law.justia.com/cases/federal/district-courts/illinois/ilndce/1:2023cv01297/430902/53/ | https://dockets.justia.com/docket/illinois/ilndce/1:2023cv01297/430902,TRUE,high,
o.b. Organic tampons,https://truthinadvertising.org/class-action/o-b-organic-tampons/,Feb./class action,Chemical-free,2023,packaging,"o.b. organic™; 100% Organic Cotton; Made from 100% certified organic cotton – from tip to string; Responsibly sourced. Free from pesticides; Free from Chlorine, Fragrances and Dyes; Only what you need, nothing you don't",PFAS,,"Milberg Coleman Bryson Phillips Grossman, LLP",corporation,cosmetics & personal care,front of pack; back label,none,California UCL; California CLRA; California FAL; multiple states,damages; injunction; restitution; attorney fees,"U.S. District Court, Northern District of California",motion_to_dismiss_granted,,12/01/2024,https://law.justia.com/cases/federal/district-courts/california/candce/3:2023cv00834/408828/59/,"Court granted defendant's motion to dismiss, ruling that plaintiffs' PFAS testing was insufficient proof to make their claims and could not prove damages. Judge set deadline for potential amended complaint.","Brigette Lowe, et al. v. Edgewell Personal Care Co.",U.S. District Court for the Northern District of California,3:23-cv-00834-LB,"Filed: February 24, 2023; Dismissal: January 12, 2024; Deadline for joint case management statements: January 25, 2024; Conference scheduled: February 1, 2024","The federal court dismissed the PFAS class action lawsuit against o.b. Organic tampons, ruling that the plaintiff's testing evidence was insufficient to prove their claims about harmful forever chemicals or demonstrate damages. The judge provided an opportunity for plaintiffs to file an amended complaint with better evidence.",https://topclassactions.com/lawsuit-settlements/consumer-products/class-action-alleges-o-b-organic-tampons-contain-harmful-forever-chemicals/ | https://law.justia.com/cases/federal/district-courts/california/candce/3:2023cv00834/408828/59/ | https://www.jdsupra.com/legalnews/ca-federal-district-court-grants-5488076/ | https://www.law360.com/cases/6512f898221040016eca02ac,TRUE,high,
H&M clothing,https://truthinadvertising.org/articles/hms-sustainability-profiles-environmental-claims/,July/class action,"Sustainable, conscious",2022,other channel,conscious; conscious choice; shortcut to sustainable choices; made from sustainable materials; close the loop; prevent its textiles from going to landfill; made with 20% less water on average; produced with 30% less water,other,sustainable materials and environmental impact,"Bursor & Fisher, P.A.",corporation,apparel & textiles,website; in-store signage; green hang tags,none,New York GBL 349,damages; injunction; restitution; attorney fees,"U.S. District Court, Southern District of New York",motion_to_dismiss_granted,,12/05/2023,,"Court granted H&M's motion to dismiss, finding no basis for reasonable consumer to be misled because H&M did not represent its conscious choice collection as 'environmentally friendly' and that reasonable consumers would not understand 'more sustainable materials' to mean inherently 'sustainable'",Lizama v. H&M Hennes & Mauritz LP,"U.S. District Court, Eastern District of Missouri",4:22-cv-01170,"Filed: November 3, 2022; Motion to Dismiss filed: December 6, 2022; Amended Motion to Dismiss filed: January 26, 2023; Dismissed: May 12, 2023",The greenwashing class action against H&M was dismissed in May 2023 after the court found that H&M's marketing of its 'Conscious Choice' collection as containing 'more sustainable materials' was not misleading to reasonable consumers. The court noted H&M never claimed products were 'environmentally friendly' or inherently 'sustainable.',https://www.courtlistener.com/docket/65672190/lizama-v-hm-hennes-mauritz-lp/ | https://www.greenbuildinglawupdate.com/2023/05/articles/greenwashing/hm-wins-dismissal-of-greenwashing-lawsuit/ | https://www.classaction.org/news/handm-hit-with-another-greenwashing-class-action-over-allegedly-false-conscious-choice-sustainability-claims | https://www.thefashionlaw.com/hm-escapes-lawsuit-accusing-it-of-greenwashing-its-fast-fashion-wares/ | https://www.classaction.org/media/lizama-et-al-v-handm-hennes-and-mauritz-lp.pdf,TRUE,high,
Bellabu Bear,https://truthinadvertising.org/class-action/bellabu-bear-apparel/,Jan./class action,Environmentally friendly,2023,packaging,Bamboo Apparel; Premium Bamboo Onesie; Best Bamboo; hypoallergenic; anti-microbial; Bamboo; soft bamboo fabric; thermo-regulating; hypoallergenic; moisture absorbing,ingredients sourcing,bamboo,"Bursor & Fisher, P.A.",corporation,apparel & textiles,front of pack,none,California UCL,damages; injunction; restitution; attorney fees,"U.S. District Court, Middle District of Florida",voluntarily_dismissed,,27/09/2023,https://truthinadvertising.org/wp-content/uploads/2023/09/Magruder-v-Bellabu-Bear-stip-of-dismissal.pdf,Joint stipulation of voluntary dismissal filed by the parties,Magruder v. Bellabu Bear LLC,"U.S. District Court, Middle District of Florida",6:23-cv-00382,"Filed: 2023; Dismissed: September 27, 2023; Last updated in CourtListener: April 14, 2025",The greenwashing class action lawsuit against Bellabu Bear over bamboo fabric claims was voluntarily dismissed in September 2023 through a joint stipulation by both parties. The case was filed in the Middle District of Florida and involved allegations that the company falsely marketed rayon products as environmentally-friendly bamboo.,https://www.courtlistener.com/docket/66921233/parties/magruder-v-bellabu-bear-llc/ | https://truthinadvertising.org/class-action/bellabu-bear-apparel/ | https://truthinadvertising.org/wp-content/uploads/2023/09/Magruder-v-Bellabu-Bear-stip-of-dismissal.pdf,TRUE,medium,
BioSteel sports drink,https://truthinadvertising.org/class-action/biosteel-blue-raspberry-sports-drink/,Jan./class action,"Clean, eco-friendly",2023,packaging,Zero Sugar; Eco Friendly,PFAS,,The Sultzer Law Group P.C.,corporation,food & beverage,front of pack,none,New York GBL 349,damages; injunction; restitution; attorney fees,"U.S. District Court, Eastern District of New York",motion_to_dismiss_filed,,,,"BioSteel filed a motion to dismiss on August 4, 2023, arguing that plaintiff's PFAS testing allegations are 'vague and conclusory' and 'devoid of any details regarding the methodology or sample used.' No ruling on this motion to dismiss has been found.","Bedson, et al. v. BioSteel Sports Nutrition Inc.",U.S. District Court for the Eastern District of New York,1:23-cv-00620,"Filed: January 27, 2023; Motion to Dismiss filed: August 4, 2023","Laura Bedson filed a class action alleging BioSteel's blue raspberry sports drink contains harmful PFAS chemicals despite being marketed as 'clean' and 'eco-friendly.' BioSteel filed a motion to dismiss in August 2023 challenging the adequacy of plaintiff's testing evidence, but no court ruling on this motion has been located.",https://topclassactions.com/lawsuit-settlements/consumer-products/food/biosteel-sports-drink-contains-dangerous-pfas-chemicals-class-action-alleges/ | https://www.classaction.org/news/forever-chemicals-found-in-biosteel-sports-drink-class-action-claims | https://www.verdantlaw.com/pfas-class-action-brought-against-sports-drink-company/ | https://truthinadvertising.org/class-action/biosteel-blue-raspberry-sports-drink/ | https://alstonpfas.com/sports-drink-company-sued-for-use-of-pfas/ | https://www.law360.com/articles/1570341 | https://www.law360.com/articles/1680437,TRUE,medium,
"Hefty ""recycling"" bags",https://truthinadvertising.org/wp-content/uploads/2022/10/Gudgel-v-Reynolds-Consumer-Products-amended-complaint.pdf,July/class action,Appropriate for recycling,2022,packaging,RECYCLING; HEFTY RECYCLING BAGS ARE PERFECT FOR ALL YOUR RECYCLING NEEDS; DESIGNED TO HANDLE ALL TYPES OF RECYCLABLES; TRANSPARENT FOR QUICK SORTING AND CURBSIDE IDENTIFICATION,recyclable,low-density polyethylene bags,"The Wright Law Office, P.A.",multiple entities,household goods,front of pack,none,Florida FDUTPA,damages; injunction; corrective advertising; restitution; attorney fees,"U.S. District Court, Middle District of Florida",settled,"3,000,000",15/11/2023,,"The court granted final approval of a $3 million class action settlement. Under the settlement terms, consumers can receive $2 per product purchased (up to $50 with proof, $12 without proof). Reynolds denied wrongdoing but agreed to the settlement and changed packaging to remove recycling claims.","Gudgel et al. v. Reynolds Consumer Products, Inc. et al.","Circuit Court of the Nineteenth Judicial District, Lake County, Illinois",23LA00000486,"Filed: 2022, Preliminary approval: August 30, 2023, Claims deadline: December 13, 2023, Final approval hearing and court approval: November 15, 2023, Settlement payments mailed: April 30, 2025","The federal class action lawsuit against Reynolds Consumer Products over Hefty 'recycling' bags was successfully settled for $3 million after the court granted final approval on November 15, 2023. The lawsuit alleged that Hefty bags marketed as 'recycling' bags were misleading because they are made from low-density polyethylene plastic that is not recyclable and actually contaminates recycling streams. Settlement payments were distributed to qualifying consumers in April 2025.",https://topclassactions.com/lawsuit-settlements/closed-settlements/hefty-great-value-recycling-bags-3m-class-action-settlement/ | https://resource-recycling.com/recycling/2023/10/02/reynolds-settles-suit-over-recycling-collection-bags/ | https://www.recyclingbagsettlement.com/Home/FAQ | https://www.washingtonexaminer.com/news/2435374/class-action-settlement-what-to-know-the-3-3-million-hefty-and-great-value-recycling-bags-settlement/ | https://www.plasticsnews.com/news/hefty-bag-maker-settles-class-action-suit-regarding-recycling-bags | https://dockets.justia.com/docket/florida/flmdce/6:2022cv01149/403261 | https://www.ag.state.mn.us/Office/Communications/2024/08/01_RecyclingBags.asp,TRUE,high,
Evian Natural Spring Water,https://truthinadvertising.org/class-action/evians-carbon-neutral-claims/,Oct./class action,Carbon neutral,2022,packaging,carbon neutral,carbon credits,,"Bursor & Fisher, P.A.",corporation,food & beverage,labels and/or packaging,Carbon Trust,multiple states,damages; injunction; restitution; attorney fees,"U.S. District Court, Southern District of New York",dismissed_without_prejudice,,14/11/2024,,"Court granted Danone's partial motion for reconsideration and dismissed plaintiffs' California and Massachusetts state unfair competition claims, breach of express warranty, unjust enrichment, and fraud causes of action without prejudice after finding context clues on packaging should have put consumers on notice about carbon neutral meaning",Dorris v. Danone Waters of America,"U.S. District Court, Southern District of New York",7:22-cv-08717,"Filed: October 13, 2022; Initial motion to dismiss partially denied: January 10, 2024; Motion for reconsideration granted and claims dismissed: November 14, 2024; Amended complaint deadline was December 13, 2024","The case experienced a significant reversal where Judge Nelson Roman initially allowed some claims to proceed in January 2024, finding 'carbon neutral' could mislead consumers. However, in November 2024, the court granted Danone's motion for reconsideration and dismissed most claims without prejudice, finding that packaging context clues should have informed reasonable consumers about the meaning of carbon neutral.",https://climatecasechart.com/case/dorris-v-danone-waters-of-america/ | https://www.thefashionlaw.com/evians-win-in-case-over-carbon-neutral-claims-is-worth-noting/ | https://www.courtlistener.com/docket/65421949/dorris-v-danone-waters-of-america/ | https://www.law360.com/cases/634867393f5717c1d792faa6 | https://www.greenbuildinglawupdate.com/2024/01/articles/greenwashing/does-evian-water-greenwash/ | https://www.esllegalsolutions.com/2024/01/does-evian-water-greenwash/,TRUE,high,
Hershey's Candy,https://truthinadvertising.org/class-action/hersheys-products/,Dec./class action,Sustainable,2024,packaging,safe and sustainable; safe without disclosing the presence or levels of PFAS or fluorine,PFAS,,"Kanner & Whiteley, L.L.C.",corporation,food & beverage,product labeling and packaging,none,Pennsylvania UTPCPL,damages; injunction; corrective advertising; restitution; attorney fees,"U.S. District Court, Middle District of Pennsylvania",motion_to_dismiss_filed,,,,"Hershey filed a motion to dismiss the consolidated lawsuit on June 27, 2025, calling the case 'built on a house of cards' and arguing that plaintiffs' allegations rely on a dubious internet report from Grizzly Research, a known short-seller. The company denies using PFAS in packaging and claims any detected chemicals are from environmental contamination.",In re Hershey Chocolate Litigation,U.S. District Court for the Middle District of Pennsylvania,1:24-cv-01868,"Original cases filed October-December 2024 (Parish v. Hershey 10/29/24, Nettle v. Hershey 11/1/24, Beekman v. Hershey 12/24/24); Cases consolidated by court order on 1/31/2025; Motion to dismiss filed by Hershey on 6/27/2025; Defendants' answer due 3/28/2025","Multiple class action lawsuits against Hershey alleging PFAS 'forever chemicals' in candy wrappers were consolidated in January 2025 under the title 'In re Hershey Chocolate Litigation.' Hershey filed a motion to dismiss in June 2025, strongly challenging the validity of claims and denying the use of PFAS in its packaging, calling the case 'built on a house of cards.'",https://www.courtlistener.com/docket/69499909/beekman-v-the-hershey-company/ | https://www.courtlistener.com/docket/69345852/nettle-v-the-hershey-company/ | https://www.law360.com/cases/67212ee07aa1330149ae7aae/articles | https://usaherald.com/hershey-slams-pfas-packaging-suit-as-house-of-cards/ | https://www.law360.com/articles/2358814/hershey-says-wrapper-pfas-suit-built-on-a-house-of-cards | https://www.bakeryandsnacks.com/Article/2025/07/01/hersheys-pfas-lawsuits-spotlight-snack-brand-risks/ | https://allaboutlawyer.com/hershey-halloween-candy-lawsuit-5m-pfas-chemical-claims-still-active-while-design-case-dismissed/ | https://topclassactions.com/hershey-class-action-lawsuit-and-settlement-news/hershey-class-action-alleges-wrappers-contain-pfas/,TRUE,high,
"Grimmway products, including carrots, juices and protein drinks",https://truthinadvertising.org/class-action/grimmway-products/,Sept./class action,Eco-friendly,2022,other channel,"smarter water usage, that will help Grimmway be more resilient to future droughts as well as address the over drafting of aquifers in key areas; regenerative farming practices have enabled us to efficiently manage risk while doing right by our employees, customers, consumers, and the environment, and protect and preserve our natural resources; continues to grow sustainably which includes reducing our carbon footprint and preserving our natural resources; At the core of our business is our role as caretakers of the land that has nourished our growth for more than 50 years. Long before climate change became part of everyday conversations, Grimmway had embarked on enterprise-wide sustainability initiatives to protect and preserve our natural resources",other,regenerative farming,"Sullivan & Yaeckel Law Group, APC",corporation,food & beverage,website; marketing materials,none,California FAL; California UCL,damages; injunction; restitution; attorney fees,"Superior Court of the State of California, County of San Diego",unknown,,,,Could not locate information about the specific 2022 greenwashing lawsuit,,"Superior Court of the State of California, County of San Diego",,,"Despite extensive searching, I could not find any information about the specific 2022 greenwashing lawsuit filed by Sullivan & Yaeckel Law Group against Grimmway products regarding eco-friendly claims. The searches returned numerous recent E. coli contamination lawsuits against Grimmway Farms from November 2024, but no information about the earlier greenwashing case. This case may have been resolved quietly, dismissed, or the information may not be publicly available online.",https://www.courtlistener.com/docket/16297490/abh-natures-products-inc-v-supplement-manufacturing-partner-inc/ | https://truthinadvertising.org/articles/by-the-numbers-greenwashing-class-action-lawsuits/ | https://www.mintz.com/insights-center/viewpoints/2151/2023-08-02-greenwashing-class-action-litigation-emerging-risk | https://www.sdcourt.ca.gov/sdcourt/generalinformation/courtrecords2/onlinecasesearch | https://sullivanlawsd.com/about/ | https://milberg.com/news/carrot-recall-lawsuit/ | https://www.classaction.org/news/organic-carrot-recall-lawsuit-filed-against-grimmway-farms-over-e.-coli-contamination-risk,FALSE,low,
KLM Royal Dutch Airlines' CO2ZERO program,https://truthinadvertising.org/articles/klm-royal-dutch-airlines-co2zero-carbon-offset-program/,Sept./class action,Carbon offsets,2022,other channel,Fly Responsibly; CO2 neutral; CO2ZERO,carbon credits,,"Sheehan & Associates, P.C.",corporation,other,website; advertisements; marketing materials,none,New York GBL 349; multiple states,damages; attorney fees; restitution,"U.S. District Court, Southern District of New York",dismissed_with_prejudice,,20/03/2024,https://truthinadvertising.org/wp-content/uploads/2023/03/Dakus-v-Koninkljke-Luchtvaart-Maatschappij-opinion-and-order.pdf,"The US federal case was dismissed with prejudice, and the court imposed sanctions on plaintiff's counsel ordering them to pay KLM $83,460.50 in attorney fees and costs for acting in bad faith by continuing to pursue claims after receiving clear notice that central allegations were false. Separately, the Dutch court ruled in March 2024 that 15 of KLM's 19 advertising statements were misleading and unlawful under EU consumer law.","Dakus v. Koninklijke Luchtvaart Maatschappij, N.V.","U.S. District Court, Southern District of New York",1:22-cv-07962,"Filed: 2022; US case dismissed with sanctions: 2023-2024; Dutch FossielVrij case judgment: March 20, 2024","The US federal greenwashing class action against KLM's CO2ZERO program was dismissed with prejudice, and sanctions were imposed on plaintiff's counsel for bad faith litigation. However, a separate Dutch case brought by environmental groups resulted in a landmark victory in March 2024, with the Amsterdam court ruling that KLM's environmental advertising claims were misleading and unlawful under EU consumer protection law.",https://climatecasechart.com/case/dakus-v-koninklijke-luchtvaart-maatschappij-nv/ | https://www.climatecasechart.com/collections/dakus-v-koninklijke-luchtvaart-maatschappij-n-v-_185beb | https://www.leighday.co.uk/news/blog/2024-blogs/klm-judgment-the-intensifying-scrutiny-of-corporate-greenwashing-across-europe/ | https://www.clientearth.org/latest/news/we-re-joining-legal-action-against-dutch-airline-klm-for-greenwashing/ | https://www.clientearth.org/media/cx4po41h/klm-judgment-20-march-2024.pdf | https://resilientllp.com/2024/04/01/dutch-court-rules-klm-misled-customers-and-engaged-in-greenwashing/ | https://www.climatecasechart.com/document/fossielvrij-nl-v-klm_0145 | https://www.osborneclarke.com/insights/district-court-amsterdam-declares-green-claims-klm-misleading-and-unlawful,TRUE,high,
"Great Value ""recycling"" bags",https://truthinadvertising.org/class-action/great-value-recycling-drawstring-bags/,July/class action,Appropriate for recycling,2022,packaging,Recycling; EASY SORTING; MUNICIPAL PROGRAMS; RECYCLABLES,recyclable,LDPE plastic,Gutride Safier LLP,corporation,household goods,front of pack,none,California UCL,damages; injunction; restitution; attorney fees,"U.S. District Court, Central District of California",settled,"3,000,000",15/11/2023,https://truthinadvertising.org/wp-content/uploads/2022/08/Millam-v-Walmart-Stipulation-of-dismissal.pdf,"The California federal class action was dismissed via stipulation in August 2022, while a separate class action against Reynolds resulted in a $3 million settlement approved in November 2023. Additionally, Minnesota AG reached a separate $216,670 settlement in August 2024.",Millam v. Walmart Inc. (California federal case) and various related cases,"U.S. District Court, Central District of California (5:22-cv-01090) and others",5:22-cv-01090 (California federal case),"Filed: July 1, 2022 (CA federal); Dismissed: August 2022 (CA federal); Class action settlement approved: November 15, 2023; Minnesota settlement: August 1, 2024; Arizona lawsuit filed: September 2025","The original Millam v. Walmart California federal case was dismissed via stipulation in August 2022. However, a separate nationwide class action against Reynolds Consumer Products resulted in a $3 million settlement covering both Hefty and Great Value recycling bags purchased between July 2018-August 2023. State attorneys general continue pursuing additional cases, with Minnesota reaching a $216,670 settlement in 2024 and Arizona filing a new lawsuit in September 2025.",https://truthinadvertising.org/wp-content/uploads/2022/08/Millam-v-Walmart-Stipulation-of-dismissal.pdf | https://topclassactions.com/lawsuit-settlements/closed-settlements/hefty-great-value-recycling-bags-3m-class-action-settlement/ | https://www.ag.state.mn.us/Office/Communications/2024/08/01_RecyclingBags.asp | https://www.prnewswire.com/news-releases/if-you-purchased-hefty-or-great-value-brand-recycling-bags-you-may-be-eligible-to-receive-a-cash-payment-from-a-class-action-settlement-301925337.html | https://resource-recycling.com/plastics/2025/09/03/reynolds-faces-hefty-lawsuit-for-its-pe-bags/ | https://dockets.justia.com/docket/california/cacdce/5:2022cv01090/856196,TRUE,high,
Kirkland albacore tuna,https://truthinadvertising.org/class-action/kirkland-signature-white-albacore-tuna-in-water/,July/class action,Dolphin safe,2022,packaging,DOLPHIN SAFE,Animal Welfare,Animal Welfare,"Clarkson Law Firm, P.C.",corporation,food & beverage,front of pack,none,California CLRA; California FAL; California UCL,injunction; restitution; damages; attorney fees,"U.S. District Court, Northern District of California",motion_to_dismiss_denied,,17/01/2023,,"U.S. District Judge William Orrick denied Costco's motion to dismiss, finding that the plaintiff plausibly alleged Costco fraudulently pledged adherence to a higher dolphin-safe standard than federal law requires and then broke its 'heightened promise.' The court ruled that Costco's claims are not preempted by the Dolphin Protection Consumer Information Act because Costco made heightened promises beyond federal requirements.",Wright v. Costco Wholesale Corp.,"U.S. District Court, Northern District of California",1:22-cv-04343,"Filed: August 2022; Motion to dismiss denied: January 17, 2023","The case alleges Costco falsely advertises its Kirkland Signature White Albacore Tuna as 'dolphin safe' despite using fishing methods that harm dolphins. After Costco's motion to dismiss was denied in January 2023, the case has proceeded past the initial motion phase and appears to be in ongoing litigation with no recent settlement or dismissal found.",https://topclassactions.com/lawsuit-settlements/lawsuit-news/costco-class-action-lawsuit-and-settlement-news/costco-class-action-alleges-company-falsely-advertises-its-dolphin-safe-tuna/ | https://www.classaction.org/news/costcos-kirkland-signature-white-albacore-tuna-not-as-dolphin-safe-as-advertised-class-action-alleges | https://www.yahoo.com/now/costco-must-face-lawsuit-over-232700742.html | https://www.seafoodsource.com/news/premium/business-finance/lawsuit-against-costco-over-dolphin-safe-tuna-claim-advances | https://natlawreview.com/article/costco-s-motion-to-dismiss-misleading-dolphin-safe-canned-tuna-class-action-denied | https://www.dailyintakeblog.com/2023/01/costcos-motion-to-dismiss-misleading-dolphin-safe-canned-tuna-class-action-denied/ | https://www.eatthis.com/costco-canned-tuna-lawsuit/,TRUE,medium,
HexClad Cookware,https://truthinadvertising.org/class-action/hexclad-cookware/,June/class action,Non-toxic,2023,other channel,non-toxic; PFOA free; free from harmful PFOA/C8 (and all PFAS) chemicals,PFAS,,Zimmerman Reed LLP,LLC,household goods,website homepage; product page; Amazon listings; social media; packaging,none,California UCL; California FAL; California CLRA,damages; injunction; restitution; attorney fees,"U.S. District Court, Central District of California",settled,"2,500,000",22/04/2025,,"Preliminary court approval granted on April 22, 2025 for $2.5 million class action settlement. Final approval hearing rescheduled to February 10, 2026.","Cliburn v. One Source to Market, LLC d/b/a Hexclad Cookware, Inc.",Superior Court of the State of California for the County of Los Angeles,23STCV28390,"Filed: 2023, Preliminary Approval: April 22, 2025, Opt-out Deadline: August 5, 2025, Claim Deadline: November 14, 2025, Final Approval Hearing: February 10, 2026","The HexClad cookware PFAS lawsuit has been settled for $2.5 million. The settlement received preliminary court approval on April 22, 2025, covering consumers who purchased HexClad products between February 1, 2022 and March 31, 2024. Final approval is pending a hearing scheduled for February 10, 2026.",https://www.courtlistener.com/docket/67533935/khuschbu-didwania-v-hexclad-cookware-inc/ | https://www.hexcladsettlement.com/ | https://www.classaction.org/news/2.5m-hexclad-settlement-reached-in-false-advertising-lawsuit-over-supposedly-non-toxic-cookware | https://www.claimdepot.com/settlements/hexclad-settlement | https://www.dapeer.com/open-settlements/hexclad-cookware-pfas-class-action-settlement | https://usesparrow.com/blog/hexclad-class-action-settlement/,TRUE,high,
Charmin Freshmates wipes,https://truthinadvertising.org/class-action/charmin-freshmates-flushable-wipes-2/,April/class action,Flushable,2015,packaging,flushable wipes; Septic Safe; flushable; Safe for sewer and septic systems,other,flushable,Gutride Safier LLP,corporation,household goods,front of pack; back label,none,California UCL; California CLRA; California FAL,restitution; injunction; damages; attorney fees,"Superior Court of the State of California, County of San Francisco",settled,"2,500,000",29/03/2019,,Judge Richard Seeborg granted final approval of the class action settlement. The court found that plaintiffs' counsel represented their clients with skill and diligence and obtained an excellent result for the class.,Pettit v. Procter & Gamble Company,U.S. District Court for the Northern District of California,3:15-cv-02150-RS,"Filed: April 2015; Preliminary settlement approval: November 2018; Final approval hearing: March 28, 2019; Final approval granted: March 29, 2019; Settlement checks distributed: June 2019","The lawsuit alleged that Charmin Freshmates wipes were falsely marketed as 'flushable' when they actually caused plumbing and septic system damage. The case was settled in 2019 with P&G agreeing to pay $2.15 million in attorney fees, provide consumer refunds of $0.60 per package, and modify product labeling and testing protocols for two years.",https://www.tzlegal.com/our-successes/2-15-million-settlement-in-charmin-freshmates-flushable-wipes-class-action/ | https://topclassactions.com/lawsuit-settlements/closed-settlements/charmin-freshmates-flushable-wipes-class-action-settlement/ | https://www.prnewswire.com/news-releases/purchasers-of-charmin-freshmates-flushable-wipes-a-class-action-settlement-may-affect-your-rights-300769067.html | https://truthinadvertising.org/class-action/charmin-freshmates-flushable-wipes-2/ | https://classactionsreporter.com/settlement/charmin-freshmates-flushable-wipes-settlement/,TRUE,high,
"Recreational Equipment, Inc. (REI) waterproof apparel",https://truthinadvertising.org/class-action/reis-waterproof-apparel/,April/class action,Sustainable,2022,other channel,sustainable gear built to last; Fair Trade Certified™,PFAS,,"Bursor & Fisher, P.A.",corporation,apparel & textiles,website,Fair Trade,California UCL,damages; injunction; restitution; attorney fees,"U.S. District Court, Northern District of California",voluntarily_dismissed,,26/07/2022,,The California case (Lupia v. REI) was voluntarily dismissed without prejudice in July 2022. A separate lawsuit in Washington (Krakauer v. REI) was dismissed with prejudice in March 2024 after the court ruled the plaintiff lacked standing.,"Lupia v. Recreational Equipment, Inc. (Northern District of California) and Krakauer v. Recreational Equipment, Inc. (Western District of Washington)","U.S. District Court, Northern District of California (Case No. 4:22-cv-02510) and U.S. District Court, Western District of Washington (Case No. 3:22-cv-05830)",4:22-cv-02510-JSC (N.D. Cal.) and 3:22-cv-05830-BHS (W.D. Wash.),"April 25, 2022 - Lupia case filed in California; October 28, 2022 - Krakauer case filed in Washington; July 26, 2022 - Lupia case voluntarily dismissed; March 29, 2024 - Krakauer case dismissed for lack of standing",There were actually two separate REI PFAS lawsuits. The original California case (Lupia v. REI) was voluntarily dismissed without prejudice in July 2022. A second lawsuit filed in Washington (Krakauer v. REI) was dismissed with prejudice in March 2024 when the court ruled the plaintiff lacked standing because he didn't test his specific jacket for PFAS or show he overpaid compared to alternative products.,https://news.bloomberglaw.com/litigation/rei-defeats-lawsuit-over-pfas-forever-chemicals-in-clothing | https://sourcingjournal.com/sustainability/sustainability-news/rei-pfas-lawsuit-greenwashing-nrdc-forever-chemicals-environment-wolverine-patagonia-390972/ | https://www.cmbg3.com/library/REI-Lawsuit.pdf | https://topclassactions.com/lawsuit-settlements/consumer-products/apparel/rei-class-action-claims-retailers-waterproof-apparel-contains-harmful-pfas/ | https://globallitigationnews.bakermckenzie.com/2023/09/25/united-states-how-the-pfas-litigation-landscape-is-expanding/,TRUE,high,
CAVA grain and salad bowls,https://truthinadvertising.org/class-action/grain-and-salad-bowls-from-cava/,April/class action,Sustainable,2022,other channel,"We believe you shouldn't have to choose healthy over satisfying . . . And we work hard every single day to make sure that promise stands; At Cava, we are about our impact on our communities and the world.  As a part of our ongoing environmental and social responsibility efforts we are actively working to ensure our sustainable packaging continues to be responsibly sourced, compostable, functional, and now PFAS free; Food . . . cannot be artificial; Cava Grill is evolved to be smarter, healthier, and more transparent",PFAS,,"Bursor & Fisher, P.A.",corporation,food & beverage,website; in-store signage,none,California UCL; California CLRA; California FAL,damages; injunction; restitution; attorney fees,"U.S. District Court, Southern District of California",unknown,,,,,,"U.S. District Court, Southern District of California",,Filed: 2022 (exact date not found),"A class action lawsuit was filed against CAVA Group alleging their grain and salad bowls contain PFAS chemicals in packaging despite marketing claims of being healthy and sustainable. The case appears to still be pending based on available information, but current status could not be independently verified through court records.",https://www.classaction.org/news/cava-food-packaging-contains-unsafe-pfas-class-action-claims | https://www.packaging-gateway.com/news/toxin-free-lawsuit-cava/ | https://truthinadvertising.org/class-action/grain-and-salad-bowls-from-cava/ | https://www.prnewswire.com/news-releases/toxin-free-usa-sues-cava-for-food-containing-pesticides-and-food-packaging-containing-pfas-301963353.html,FALSE,low,
